image,title,artist,description,,
Casiopea.jpg,Casiopea,Casiopea,Jazz fusion masterpiece with incredible technical skill,,
hifianatomia.jpg,Hi-fi Anatomia,Soutaiseiriron,Experimental J-pop with unique arrangements,, my personal favorite
In_Colour.png,In Colour,Jamie xx,House music with emotional depth and perfect production,,
Wavejobim.jpg,Wave,Ant?nio Carlos Jobim,Classic bossa nova album that defined a genre ,,
lucy_fanfare.jpg,Fanfare,Advantage Lucy,lovely j-indie album,,
lampgensou.jpg,Lamp Phantasma,Lamp,,,
ruinseverything.jpg,Ruins Everything,Snazzback,,,
phosphene.jpg,Viewfinder Vol. 1: PHOSPHENE,Sam Gellaitry,,,
kikuomiku7.jpg,Kikuo Miku 7,Kikuo,,,
liwolalbum.jpg,Jade Moon Upon a Sea of Clouds,Yu-Peng Chen (Genshin Impact),,,
cosmogramma.jpg,Cosmogramma,Flying Lotus,,,
thenewsound.png,The New Sound,Geordie Greep,,,
imagesandwords.jpg,Images and Words,Dream Theater,,,
th06soundtrack.jpg,Touhou Koumakyo ~ the Embodiment of Scarlet Devil,ZUN,,,
kapustinetudes.jpg,Kapustin - Eight Concert Etudes,Nikolai Kapustin,"My fav is sonata 1, by the way.",,
foreverhowlong.jpg,Forever Howlong,"Black Country, New Road",,,
eureka.jpg,Eureka,Kinoko Teikoku,,,
becauseiloveyou.jpg,Because I love you,Yu Jae-Ha,,,
madvillainy.png,Madvillainy,Madvillain,,,
laurynhill.jpg,The Miseducation of Lauryn Hill,Lauryn Hill,,,
lowendtheory.jpg,The Low End Theory,A Tribe Called Quest,,,
graduation.jpg,Graduation,Kanye West,,,
meltmyeyez.jpg,Melt My Eyez See Your Future,Denzel Curry,,,
scaringthehoes.jpg,Scaring The Hoes,JPEGMAFIA,,,
tpab.png,To Pimp A Butterfly,Kendrick Lamar,,,
flowerboy.png,Flower Boy,"Tyler, The Creator",,,
brat.png,BRAT,Charli xcx,,,
tdstm.jpg,The Dark Side of The Moon,Pink Floyd,,,
crumbling.png,Crumbling,Mid-Air Thief,,,
workandnonwork.jpg,Work and Non Work,Broadcast,,,
hades.jpg,Hades (The Nine Stages Of Change At The Deceased Remains),My Dead Girlfriend,,,
soundsofsilence.jpg,Sounds of Silence,Simon & Garfunkel,,,
qp.jpg,£ñ£ð,Ichiko Aoba,,,
reichvariations.jpg,"Variations for Winds, Strings and Keyboards",Steve Reich,,,
daphnisetchloe.jpg,Daphnis et Chlo?,"Maurice Ravel, Berlin Philharmonic",,,
